"vkvfslqn.tk","33","Bkav,MicroWorld-eScan,nProtect,CAT-QuickHeal,McAfee,Agnitum,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,NANO-Antivirus,Rising,Ad-Aware,Sophos,Comodo,F-Secure,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,NOD32,Emsisoft,Jiangmin,Antiy-AVL,Microsoft,GData,Tencent,Ikarus,Panda,Qihoo-360"
"stucat.org","35","McAfee,K7AntiVirus,VirusBuster,NOD32,Symantec,Norman,TotalDefense,TrendMicro-HouseCall,Avast,eSafe,Kaspersky,BitDefender,ByteHero,Sophos,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Emsisoft,eTrust-Vet,Antiy-AVL,Microsoft,ViRobot,AhnLab-V3,GData,ESET-NOD32,VBA32,PCTools,Ikarus,Fortinet,AVG,Panda"
"lawssd.com","41","Bkav,MicroWorld-eScan,nProtect,CMC,CAT-QuickHeal,McAfee,Malwarebytes,K7AntiVirus,K7GW,Symantec,Norman,TotalDefense,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,NANO-Antivirus,Ad-Aware,Emsisoft,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,ESET-NOD32,Antiy-AVL,Kingsoft,Microsoft,GData,Commtouch,AhnLab-V3,VBA32,Rising,Ikarus,Fortinet,AVG,Panda,Qihoo-360"
"holybible.hexorcist.com","20","Comodo,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,GData,McAfee,K7AntiVirus,K7GW,Microsoft,F-Prot,Commtouch,ESET-NOD32,Avast,Kaspersky,NANO-Antivirus,Ikarus,Fortinet,AVG,Qihoo-360"
"ilovefrance.info","42","Bkav,MicroWorld-eScan,nProtect,CMC,CAT-QuickHeal,McAfee,Malwarebytes,TheHacker,K7GW,K7AntiVirus,NANO-Antivirus,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,Agnitum,Ad-Aware,Emsisoft,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,Jiangmin,Antiy-AVL,Kingsoft,Microsoft,ViRobot,GData,AhnLab-V3,VBA32,Ikarus,Fortinet,AVG,Panda,Qihoo-360"
"188.165.207.158","24","McAfee,K7AntiVirus,VirusBuster,NOD32,Symantec,Norman,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Emsisoft,Antiy-AVL,Microsoft,GData,Ikarus,Fortinet,AVG"
"withwork.ru","39","Bkav,MicroWorld-eScan,nProtect,McAfee,K7AntiVirus,TheHacker,VirusBuster,NOD32,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,ClamAV,Kaspersky,BitDefender,NANO-Antivirus,Ad-Aware,Sophos,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Emsisoft,Jiangmin,Antiy-AVL,Microsoft,ViRobot,GData,VBA32,PCTools,Ikarus,Fortinet,AVG,Panda,Qihoo-360"
"lafoluss5.com","36","MicroWorld-eScan,nProtect,CAT-QuickHeal,McAfee,K7AntiVirus,NOD32,F-Prot,Symantec,Norman,TotalDefense,TrendMicro-HouseCall,Avast,ClamAV,Kaspersky,BitDefender,NANO-Antivirus,Sophos,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Emsisoft,Jiangmin,Microsoft,ViRobot,GData,Commtouch,AhnLab-V3,VBA32,ESET-NOD32,Ikarus,Fortinet,AVG"
"logodesign.rampdigital.com","48","Bkav,MicroWorld-eScan,nProtect,CAT-QuickHeal,McAfee,TheHacker,K7AntiVirus,VirusBuster,NOD32,F-Prot,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,eSafe,ClamAV,Kaspersky,BitDefender,NANO-Antivirus,ViRobot,Rising,Ad-Aware,Emsisoft,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,Jiangmin,Antiy-AVL,Agnitum,Microsoft,SUPERAntiSpyware,GData,Commtouch,AhnLab-V3,VBA32,PCTools,Tencent,Ikarus,Fortinet,AVG,Panda,Qihoo-360"
"edustaviin.japonipsum.com","48","Bkav,TotalDefense,MicroWorld-eScan,nProtect,CMC,CAT-QuickHeal,McAfee,Malwarebytes,K7AntiVirus,K7GW,TheHacker,NANO-Antivirus,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,ClamAV,Kaspersky,BitDefender,Agnitum,SUPERAntiSpyware,Ad-Aware,Sophos,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Emsisoft,Jiangmin,Antiy-AVL,Kingsoft,Microsoft,ViRobot,GData,Commtouch,AhnLab-V3,VBA32,Baidu-International,Rising,Ikarus,Fortinet,AVG,Panda,Qihoo-360"
